,Date,User,Tweet
0,2021-12-31 23:56:28+00:00,tjb_dev,"i get so frustrated with #python every time i want to learn it + django. 

virtualenv, pyenv, pyenv virtualenv (this is a thing ig?) 

like why cant there be something like rbenv or sdkman that is at community standard for switching versions? 

am i just dumb or...?"
1,2021-12-31 23:50:01+00:00,DD_FaFa_,Fraud Detection in Python. Learn how to detect fraud using Python https://t.co/xUuVMRuGE2 #python #fraud #detection
2,2021-12-31 23:49:50+00:00,IainLJBrown,"2021's Top Stories About AI - IEEE Spectrum

Read more here: https://t.co/LwOywkMWAn

#ArtificialIntelligence #AI #DataScience #100DaysOfCode #Python #MachineLearning #BigData #DeepLearning #NLP #Robots #IoT"
3,2021-12-31 23:49:09+00:00,malo21st,"Pythonメモ

pandasのインポートついでに、

pd.options.plotting.backend = ""plotly""

と１行追加するだけで、味気ない df.plot に彩が加わりますよ。

#Python #pandas #plotly #データ可視化

【この記事、もっと評価されるべき】
pandas×plotlyで楽々可視化 https://t.co/qM5B7YV6UE #Qiita https://t.co/jUA7kW7ELE"
4,2021-12-31 23:48:03+00:00,miyashin_prg,"PythonでWebブラウザを自動操作する方法をご紹介します☺
僕の場合は「ログイン→パスワード入力→ボタンクリック」の繰り返し作業を自動化していました😁
サンプルコード付きです🤗
#Python
#駆け出しエンジニアと繋がりたい
#プログラミング初心者
#今日の積み上げ 
#朝活 https://t.co/ZtnuGi3xMK"
5,2021-12-31 23:45:28+00:00,keiji_dl,"休日朝の #numpy
    問：
    二次元のガウスカーネル配列を生成せよ。
    解：
    添付の通り。
    #Python
    #プログラミング
    #今日の積み上げ
    #駆け出しエンジニアと繋がりたい https://t.co/aJhBrsizNB"
6,2021-12-31 23:45:12+00:00,investortat,"PythonでSUUMOをスクレイピングして賃貸物件情報を収集する方法について解説しました

短いコードでスクレイピングできてしまうPythonはやっぱり最強です

初心者でも学びやすい言語なのでオススメです
#駆け出しエンジニアと繋がりたい #Python #プログラミング初心者 
https://t.co/2sWPb3zSoE"
7,2021-12-31 23:45:08+00:00,earaspi,This Hours Photo: #weather #minnesota #photo #raspberrypi #python https://t.co/QwKzISC1Ur
8,2021-12-31 23:44:39+00:00,0g1iPOHDHaYBY67,"参考書をいちど見てみるのもいいかもしれません｜https://t.co/rpGTWJgQxD
#G検定 #ディープラーニング #AI #人工知能 #資格 #Python
2022-01-01 08:44:39.936791"
9,2021-12-31 23:42:08+00:00,Datascience__,"Machine Learning with R: Expert techniques for predictive modeling, 3rd Edition https://t.co/30bUZfQL2U  #Python #ad"
10,2021-12-31 23:40:03+00:00,vapeafond,Python: How can I rename a conda environment? - #python - #anaconda - #conda  - Answer link : https://t.co/khzNA9nAeS https://t.co/X3Ubm7ko3w
11,2021-12-31 23:39:08+00:00,Wakedxy1,"Bonne année 2022!
#2022 #HAPPYNEWYEAR #Python https://t.co/m5gOVPWZ1q"
12,2021-12-31 23:32:57+00:00,f_dion,"@ArtofWarm You are not going to like this, but there is a valid use for ; in #python. It is to prevent return values to display in a notebook cell (only needed for the last call in a cell)."
13,2021-12-31 23:31:06+00:00,pihole_fosser,"I am a #RaspberryPi #Python scripted bot
This is my daily #Pihole report:

Ads Blocked: 8417
Ads Percentage Today: 50 %
DNS Queries Today: 16531
Domains Blocked: 444895

Time and date: 05:01 01-01-2022"
14,2021-12-31 23:30:48+00:00,DD_Jessica_,Introduction to Python for Finance. This course introduces Python for financial analysis https://t.co/Ef2ISLmCmD #python #statistical #thinking
15,2021-12-31 23:30:18+00:00,malo21st,"なぜか福岡県のオープンデータから交通事故のデータ５年分を合体させて、発生件数をグラフにしてみた。

コロナ禍やロックダウンで極端な減少が印象的ですが、コロナ禍の前から減少傾向が伺えることはいいことですね。

それにしてもPandasの扱いがうまくなってきたな～。

#pandas #Python #交通事故 https://t.co/6cV6pUwyPv"
16,2021-12-31 23:30:04+00:00,DolfinWX,"Weather in my area.
Last updated: 12/31/2021 12:53 HST
Current Conditions: Cloudy
Temp: 78.08°F
Dewpoint: 71.06°F
Humidity: 79%
Feels Like: 79°F
Wind: SSE 57.98 MPH
Barometer: 29.82""
Visibility: 10.0 Mi
Forecast Zone: PHJR

#Python 
#RaspberryPi

PythonAPRS v1.3.2"
17,2021-12-31 23:29:54+00:00,kausarat_g,"I only see my goals.... I don't believe in failure✊✊ Happy New year
#Python  #webdeveloper  #HAPPYNEWYEAR2022 https://t.co/s6vF9V74E3"
18,2021-12-31 23:27:33+00:00,CoolerData,Nine Rules for Writing Python Extensions in Rust https://t.co/bY5HzbEczf #WeWantData #Data #Insights #MachineLearning #Cloud #ComputerVision #Analysis #Python https://t.co/TZMlsij972
19,2021-12-31 23:26:04+00:00,javascriptworks,"Remote (Senior) Software Engineer $145K - 185K + Equity

Check out this role working with Java, Javascript &amp; Python

#remotework #remotejobs #java #javascript #python

https://t.co/wPLpJ6UWxg"
